,0
639,5019
640,13099
641,13175
642,13127
643,20021
644,5009
645,13225
646,26037
647,8087
648,5031
649,39113
650,26093
651,40087
652,47179
653,20127
654,39139
655,13247
656,20107
657,40083
658,40051
659,5035
660,5007
661,53009
662,26111
663,47189
664,20173
665,24009
666,35047
667,39061
668,22055
669,22045
670,22019
671,18119
672,22007
673,48123
674,28163
675,28159
676,28157
677,18157
678,28147
679,48467
680,21209
681,21199
682,28123
683,32007
684,5053
685,18177
686,28067
687,47035
688,28051
689,24045
690,21101
691,47045
692,22047
693,22063
694,21059
695,22075
696,1097
697,12053
698,45081
699,30085
700,12061
701,30057
702,48251
703,12063
704,30029
705,45035
706,30007
707,9013
708,9015
709,1127
710,45001
711,22121
712,22119
713,31127
714,36095
715,22097
716,12085
717,36117
718,22093
719,42129
720,48103
721,55021
722,55035
723,5113
724,5115
725,5131
726,55015
727,55007
728,4025
729,48061
730,34009
731,54093
732,27139
733,19061
734,27099
735,8049
736,5141
737,5133
738,5129
739,19139
740,42071
741,4023
742,8025
743,55089
744,5055
745,34037
746,55127
747,55111
748,5063
749,54061
750,25015
751,5111
752,42075
753,21047
754,45041
755,41023
756,45085
757,51740
758,45075
759,45003
760,6025
761,45015
762,51700
763,45077
764,51710
765,45027
766,20155
767,13149
768,48219
769,13171
770,45031
771,20161
772,47063
773,42027
774,22105
775,48459
776,47059
777,42105
778,47043
779,50021
780,24047
781,48067
782,51001
783,47119
784,47011
785,47009
786,13181
787,21035
788,13085
789,42055
790,48049
791,13051
792,51073
793,47001
794,42049
795,22025
796,22031
797,13045
798,13097
799,48147
800,50001
801,22079
802,12087
803,41061
804,6005
805,13227
806,28093
807,13287
808,37147
809,37139
810,37135
811,55105
812,55109
813,28001
814,56005
815,37069
816,37057
817,56025
818,37031
819,28037
820,28053
821,28071
822,28077
823,28081
824,28113
825,55073
826,37159
827,55055
828,39029
829,39159
830,13321
831,39101
832,54035
833,54039
834,27025
835,27027
836,27045
837,37167
838,39007
839,38071
840,38069
841,55017
842,55031
843,55033
844,55045
845,28121
846,18167
847,28129
848,8014
849,1075
850,1071
851,17113
852,16011
853,32023
854,17021
855,16027
856,16055
857,31109
858,34011
859,17001
860,4027
861,1043
862,8093
863,33005
864,8113
865,1077
866,35013
867,18163
868,29201
869,28139
870,18145
871,29043
872,29069
873,1129
874,18053
875,29169
876,36065
877,35031
878,36063
879,9011
880,36037
881,36035
882,36021
883,31019
884,18003
885,39165
886,47167
887,13273
888,13243
889,13219
890,53015
891,53065
892,13215
893,13255
894,40049
895,13277
896,13201
897,53055
898,13261
899,13207
900,12107
901,25019
902,19169
903,35025
904,28151
905,42093
906,12111
907,26157
908,41033
909,6017
910,1093
911,22013
912,51003
913,29013
914,26005
915,39043
916,39025
917,39039
918,23023
919,22027
920,50025
921,22011
922,22009
923,54079
924,27039
925,51800
926,51023
927,6093
928,27063
929,48359
930,29101
931,21005
932,27157
933,18035
934,18061
935,18059
936,42019
937,51093
938,18039
939,27147
940,51117
941,36101
942,48329
943,27137
944,22101
945,29097
946,51067
947,26015
948,30013
949,22039
950,45071
951,26145
952,45069
953,19113
954,18103
955,45053
956,19087
957,30081
958,19065
959,45047
960,48375
961,22073
962,45037
963,45033
964,12055
965,12083
966,13009
967,48021
968,39089
969,8015
970,28127
971,26165
972,6007
973,8039
974,21151
975,28107
976,37035
977,8053
978,28087
979,28025
980,37021
981,24011
982,12005
983,21215
984,47123
985,6115
986,28039
987,28043
988,47141
989,33017
990,47145
991,8085
992,28085
993,28079
994,18175
995,47151
996,13187
997,28057
998,24039
999,48069
1000,4003
1001,26025
1002,47029
1003,47047
1004,56007
1005,26035
1006,47017
1007,4001
1008,28143
1009,17037
1010,50011
1011,48117
1012,28007
1013,28145
1014,24043
1015,54051
1016,26021
